,Unnamed: 0,lng,lat,id,icon_caption_x,speed_limit,raw_text,icon_caption_y,geom_type,geometry,id_clean,dist_m
242,278,71.4112195,51.0895006,d26f0748-ec83-11ea-9092-001876201992,Контроль ПДД,40,"Скопировать ссылку на точку KZ-01-ID:ASTP378 Нур-Султан, от ул. Ш?ймерден ?осшы??л?лы в сторону переул. Косой Старый номер: KZ-KZ-AST-5103 Дата последних изменений: 2020-10-13 16:27:49 Ограничение скорости: 40 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4112195 51.0895006, 71.411618022366 51.09128168028, 71.412563833786 51.091088655519, 71.4112195 51.0895006))",d26f0748-ec83-11ea-9092-001876201992,364.282485589116
243,279,71.4113643,51.0895174,d26f079c-ec83-11ea-9092-001876201992,Контроль ПДД,40,"Скопировать ссылку на точку KZ-01-ID:ASTP378 Нур-Султан, от просп. Мангилик Ел в сторону просп. Улы Дала Старый номер: KZ-KZ-AST-5104 Дата последних изменений: 2020-10-13 16:30:01 Ограничение скорости: 40 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4113643 51.0895174, 71.412619579234 51.087900843685, 71.411663618705 51.087728668956, 71.4113643 51.0895174))",d26f079c-ec83-11ea-9092-001876201992,354.3515831252002
244,280,71.3892135,51.0837258,d26f08cc-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP38 Нур-Султан, от просп. Улы Дала в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-5107 Дата последних изменений: 2023-06-28 18:39:49 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.3892135 51.0837258, 71.389063654695 51.081929680961, 71.388094779312 51.082070194692, 71.3892135 51.0837258))",d26f08cc-ec83-11ea-9092-001876201992,1997.0980096633202
245,281,71.3896212,51.0840806,d26f0924-ec83-11ea-9092-001876201992,Контроль ПДД,40,"Скопировать ссылку на точку KZ-01-ID:ASTP38 Нур-Султан, от просп. ?абанбай Батыр в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-5108 Дата последних изменений: 2020-09-18 16:57:23 Ограничение скорости: 40 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.3896212 51.0840806, 71.393195257385 51.083962937267, 71.392915652405 51.0832021471, 71.3896212 51.0840806))",d26f0924-ec83-11ea-9092-001876201992,1958.0720808004276
246,282,71.3891759,51.084361,d26f098e-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP38-КРЗ- Нур-Султан, от просп. Улы Дала в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-5109 Дата последних изменений: 2023-06-28 18:40:04 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.3891759 51.084361, 71.389363208869 51.08660614881, 71.390574319754 51.086430506718, 71.3891759 51.084361))",d26f098e-ec83-11ea-9092-001876201992,1979.0289344497774
247,283,71.4046224,51.0947361,d26f0a2c-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP382 Нур-Султан, от ул. Турара Рыскулова в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-5110 Дата последних изменений: 2020-09-29 10:31:27 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4046224 51.0947361, 71.404397578527 51.092041921441, 71.402943919433 51.092252692037, 71.4046224 51.0947361))",d26f0a2c-ec83-11ea-9092-001876201992,1025.1758525613109
248,284,71.4043757,51.0945334,d26f0b68-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP382 Нур-Султан, от просп. Улы Дала в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-5113 Дата последних изменений: 2020-09-29 10:30:28 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4043757 51.0945334, 71.404600520086 51.097227578572, 71.406054172839 51.097016808061, 71.4043757 51.0945334))",d26f0b68-ec83-11ea-9092-001876201992,1026.004629898965
255,291,71.4281358,51.0999444,d26f2227-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP57-КРЗ- Нур-Султан, от ул. Т?ркістан в сторону ул. Алихан Бокейхан Старый номер: KZ-KZ-AST-5176 Дата последних изменений: 2020-09-28 10:30:04 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4281358 51.0999444, 71.425990629831 51.100014997766, 71.426158450446 51.100471471856, 71.4281358 51.0999444))",d26f2227-ec83-11ea-9092-001876201992,1443.435252630588
256,292,71.4287903,51.099914,d26f2284-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP57-КРЗ- Нур-Султан, от ул. Т?ркістан в сторону ул. Алихан Бокейхан Старый номер: KZ-KZ-AST-5177 Дата последних изменений: 2020-09-28 10:30:39 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4287903 51.099914, 71.430935468769 51.09984340236, 71.430767648332 51.09938692826, 71.4287903 51.099914))",d26f2284-ec83-11ea-9092-001876201992,1467.0917323622118
257,293,71.4166203,51.0842529,d26f2fd3-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP78 Нур-Султан, от просп. ?абанбай Батыр в сторону просп. Мангилик Ел Старый номер: KZ-KZ-AST-5215 Дата последних изменений: 2020-10-13 16:22:43 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4166203 51.0842529, 71.413761043456 51.084347030355, 71.413984728364 51.084955662475, 71.4166203 51.0842529))",d26f2fd3-ec83-11ea-9092-001876201992,555.8282629508136
258,294,71.4172157,51.0842326,d26f307a-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP78 Нур-Султан, от ул. Турара Рыскулова в сторону ул. Турара Рыскулова Старый номер: KZ-KZ-AST-5216 Дата последних изменений: 2020-10-13 16:23:03 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4172157 51.0842326, 71.420074955303 51.084138469813, 71.419851270584 51.08352983768, 71.4172157 51.0842326))",d26f307a-ec83-11ea-9092-001876201992,560.6707578693816
260,296,71.4215701,51.0795291,8e86e84c-015e-11eb-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP190 Нур-Султан, от просп. ?абанбай Батыр в сторону ул. Хусейн бен Талал Старый номер: KZ-KZ-AST-5282 Дата последних изменений: 2020-09-28 09:45:19 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4215701 51.0795291, 71.424431244097 51.079466330749, 71.424224523856 51.078855339011, 71.4215701 51.0795291))",8e86e84c-015e-11eb-9092-001876201992,1139.2037481452285
261,297,71.422525,51.0836379,07e57c12-015f-11eb-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01 Нур-Султан, пр. Мангилик Ел/ул. Т. Рыскулова - Сергек Старый номер: KZ-KZ-AST-5283 Дата последних изменений: 2023-07-07 15:55:51 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.422525 51.0836379, 71.422674844753 51.085434019048, 71.423643718315 51.085293505374, 71.422525 51.0836379))",07e57c12-015f-11eb-9092-001876201992,755.8119030654262
262,298,71.4226108,51.0832291,1593b7dd-015f-11eb-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01 Нур-Султан, пр. Мангилик Ел/ул. Т. Рыскулова - Сергек Старый номер: KZ-KZ-AST-5284 Дата последних изменений: 2023-07-07 15:57:03 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4226108 51.0832291, 71.422460956304 51.081432980961, 71.421492091324 51.081573494692, 71.4226108 51.0832291))",1593b7dd-015f-11eb-9092-001876201992,796.9939991011219
